source,target,relationshipType,properties
30,31,RELATED,"{order: 13, description: Obstructive Sleep Apnea, Adult is a specific type of Obstructive Sleep Apnea., metadata: {\""summary\"": \""The text appears to be a table of contents for a section of a medical publication, covering various sleep disorders. Topics include short-term insomnia disorder, other insomnia disorder, isolated symptoms and normal variants (excessive time in bed and short sleeper), and sleep breathing disorders (obstructive sleep apnea disorders for adults and children, and central sleep apnea syndromes with Cheyne-Stokes breathing).\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
32,31,RELATED,"{order: 13, description: Obstructive Sleep Apnea, Pediatric is a specific type of Obstructive Sleep Apnea., metadata: {\""summary\"": \""The text appears to be a table of contents for a section of a medical publication, covering various sleep disorders. Topics include short-term insomnia disorder, other insomnia disorder, isolated symptoms and normal variants (excessive time in bed and short sleeper), and sleep breathing disorders (obstructive sleep apnea disorders for adults and children, and central sleep apnea syndromes with Cheyne-Stokes breathing).\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
33,34,RELATED,"{order: 13, description: Central Sleep Apnea with Cheyne-Stokes Breathing is a specific type of Central Sleep Apnea Syndromes., metadata: {\""summary\"": \""The text appears to be a table of contents for a section of a medical publication, covering various sleep disorders. Topics include short-term insomnia disorder, other insomnia disorder, isolated symptoms and normal variants (excessive time in bed and short sleeper), and sleep breathing disorders (obstructive sleep apnea disorders for adults and children, and central sleep apnea syndromes with Cheyne-Stokes breathing).\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
35,36,RELATED,"{order: 15, description: is_risk_factor_for, metadata: {\""summary\"": \""The text appears to be discussing different types of central sleep apnea: \n\n1. Central sleep apnea due to high altitude periodic breathing\n2. Central sleep apnea due to medication or substance\n3. Primary central sleep apnea.\n\nEach section covers a specific type of central sleep apnea, its causes, and possible distinguishing features.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
35,37,RELATED,"{order: 15, description: has_symptom, metadata: {\""summary\"": \""The text appears to be discussing different types of central sleep apnea: \n\n1. Central sleep apnea due to high altitude periodic breathing\n2. Central sleep apnea due to medication or substance\n3. Primary central sleep apnea.\n\nEach section covers a specific type of central sleep apnea, its causes, and possible distinguishing features.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
38,39,RELATED,"{order: 15, description: is_risk_factor_for, metadata: {\""summary\"": \""The text appears to be discussing different types of central sleep apnea: \n\n1. Central sleep apnea due to high altitude periodic breathing\n2. Central sleep apnea due to medication or substance\n3. Primary central sleep apnea.\n\nEach section covers a specific type of central sleep apnea, its causes, and possible distinguishing features.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
38,39,RELATED,"{order: 15, description: has_symptom, metadata: {\""summary\"": \""The text appears to be discussing different types of central sleep apnea: \n\n1. Central sleep apnea due to high altitude periodic breathing\n2. Central sleep apnea due to medication or substance\n3. Primary central sleep apnea.\n\nEach section covers a specific type of central sleep apnea, its causes, and possible distinguishing features.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
40,41,RELATED,"{order: 16, description: is a specific type of, metadata: {\""summary\"": \""The text is about Primary Central Sleep Apnea of Infancy (PCSAI), a rare disorder characterized by periodic cessations in breathing during sleep in infants. Unlike other forms of sleep apnea, PCSAI is not caused by obstruction of the airway, but rather by the brain's failure to signal the muscles to breathe. The condition is typically outgrown by the time the child reaches one year of age. While it is not usually harmful, PCSAI can cause oxygen desaturation and arousal from sleep, leading to excessive daytime sleepiness and poor growth. The text also notes that PCSAI can be associated with other medical conditions, such as neurological disorders or congenital heart disease.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
42,43,RELATED,"{order: 17, description: Primary Central Sleep Apnea of Prematurity is a specific type of Central Sleep Apnea., metadata: {\""summary\"": \""The text appears to be about Primary Central Sleep Apnea of Prematurity (PCSAP), a breathing disorder that affects premature infants. It is characterized by pauses in breathing during sleep, which can lead to decreased oxygen levels and increased carbon dioxide levels in the blood. The exact cause of PCSAP is not known, but it is thought to be related to immaturity of the brain's respiratory control center. Treatment may include oxygen therapy, mechanical ventilation, and monitoring of oxygen and carbon dioxide levels.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
44,45,RELATED,"{order: 18, description: treated_by, metadata: {\""summary\"": \""The text discusses two types of sleep-related disorders: Treatment-Emergent Central Sleep Apnea and Sleep Related Hypoventilation Disorders. The first type occurs as a side effect of certain treatments and is characterized by interrupted breathing during sleep. The second type, Sleep Related Hypoventilation Disorders, includes Obesity Hypoventilation Syndrome and Congenital Central Alveolar Hypoventilation Syndrome, which are both caused by abnormal ventilation during sleep, resulting in low oxygen levels and high carbon dioxide levels in the blood.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
45,46,RELATED,"{order: 18, description: has_symptom, metadata: {\""summary\"": \""The text discusses two types of sleep-related disorders: Treatment-Emergent Central Sleep Apnea and Sleep Related Hypoventilation Disorders. The first type occurs as a side effect of certain treatments and is characterized by interrupted breathing during sleep. The second type, Sleep Related Hypoventilation Disorders, includes Obesity Hypoventilation Syndrome and Congenital Central Alveolar Hypoventilation Syndrome, which are both caused by abnormal ventilation during sleep, resulting in low oxygen levels and high carbon dioxide levels in the blood.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
45,47,RELATED,"{order: 18, description: has_symptom, metadata: {\""summary\"": \""The text discusses two types of sleep-related disorders: Treatment-Emergent Central Sleep Apnea and Sleep Related Hypoventilation Disorders. The first type occurs as a side effect of certain treatments and is characterized by interrupted breathing during sleep. The second type, Sleep Related Hypoventilation Disorders, includes Obesity Hypoventilation Syndrome and Congenital Central Alveolar Hypoventilation Syndrome, which are both caused by abnormal ventilation during sleep, resulting in low oxygen levels and high carbon dioxide levels in the blood.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
46,48,RELATED,"{order: 18, description: is_risk_factor_for, metadata: {\""summary\"": \""The text discusses two types of sleep-related disorders: Treatment-Emergent Central Sleep Apnea and Sleep Related Hypoventilation Disorders. The first type occurs as a side effect of certain treatments and is characterized by interrupted breathing during sleep. The second type, Sleep Related Hypoventilation Disorders, includes Obesity Hypoventilation Syndrome and Congenital Central Alveolar Hypoventilation Syndrome, which are both caused by abnormal ventilation during sleep, resulting in low oxygen levels and high carbon dioxide levels in the blood.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
49,50,RELATED,"{order: 19, description: has a, metadata: {\""summary\"": \""This appears to be a title or heading about a medical condition called \\""Late-Onset Central Hypoventilation with Hypothalamic Dysfunction,\\"" which involves problems with breathing regulation and the hypothalamus, a region of the brain that controls many vital functions.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
49,51,RELATED,"{order: 19, description: has a, metadata: {\""summary\"": \""This appears to be a title or heading about a medical condition called \\""Late-Onset Central Hypoventilation with Hypothalamic Dysfunction,\\"" which involves problems with breathing regulation and the hypothalamus, a region of the brain that controls many vital functions.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
49,51,RELATED,"{order: 19, description: is a, metadata: {\""summary\"": \""This appears to be a title or heading about a medical condition called \\""Late-Onset Central Hypoventilation with Hypothalamic Dysfunction,\\"" which involves problems with breathing regulation and the hypothalamus, a region of the brain that controls many vital functions.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
52,53,RELATED,"{order: 20, description: is a type of, metadata: {\""summary\"": \""The text describes two types of sleep-related hypoventilation disorders: idiopathic central alveolar hypoventilation and sleep-related hypoventilation due to medication or substance. The first type is a rare disorder characterized by decreased breathing during sleep that is not caused by a known medical condition. The second type is caused by the use of medication or substances that depress the central nervous system, leading to decreased breathing during sleep.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
54,53,RELATED,"{order: 20, description: is a type of, metadata: {\""summary\"": \""The text describes two types of sleep-related hypoventilation disorders: idiopathic central alveolar hypoventilation and sleep-related hypoventilation due to medication or substance. The first type is a rare disorder characterized by decreased breathing during sleep that is not caused by a known medical condition. The second type is caused by the use of medication or substances that depress the central nervous system, leading to decreased breathing during sleep.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
55,56,RELATED,"{order: 21, description: has_symptom or is_risk_factor_for, as the medical disorder leads to the sleep related hypoventilation condition., metadata: {\""summary\"": \""The text pertains to \\""Sleep Related Hypoventilation Due to a Medical Disorder,\\"" a condition characterized by abnormally slow and shallow breathing during sleep, resulting in low oxygen and high carbon dioxide levels in the blood. This can occur due to various medical disorders such as neuromuscular or chest wall disorders, obesity hypoventilation syndrome, or severe lung diseases. Symptoms include excessive daytime sleepiness, morning headaches, and snoring, while diagnosis involves overnight monitoring of breathing and oxygen levels. Treatment options include continuous positive airway pressure (CPAP), bilevel positive airway pressure (BPAP), or oxygen therapy, along with addressing the underlying medical condition.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
55,57,RELATED,"{order: 21, description: requires_test, as these tests are commonly used to diagnose sleep related hypoventilation., metadata: {\""summary\"": \""The text pertains to \\""Sleep Related Hypoventilation Due to a Medical Disorder,\\"" a condition characterized by abnormally slow and shallow breathing during sleep, resulting in low oxygen and high carbon dioxide levels in the blood. This can occur due to various medical disorders such as neuromuscular or chest wall disorders, obesity hypoventilation syndrome, or severe lung diseases. Symptoms include excessive daytime sleepiness, morning headaches, and snoring, while diagnosis involves overnight monitoring of breathing and oxygen levels. Treatment options include continuous positive airway pressure (CPAP), bilevel positive airway pressure (BPAP), or oxygen therapy, along with addressing the underlying medical condition.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
55,58,RELATED,"{order: 21, description: treated_by, as these are common treatments for sleep related hypoventilation., metadata: {\""summary\"": \""The text pertains to \\""Sleep Related Hypoventilation Due to a Medical Disorder,\\"" a condition characterized by abnormally slow and shallow breathing during sleep, resulting in low oxygen and high carbon dioxide levels in the blood. This can occur due to various medical disorders such as neuromuscular or chest wall disorders, obesity hypoventilation syndrome, or severe lung diseases. Symptoms include excessive daytime sleepiness, morning headaches, and snoring, while diagnosis involves overnight monitoring of breathing and oxygen levels. Treatment options include continuous positive airway pressure (CPAP), bilevel positive airway pressure (BPAP), or oxygen therapy, along with addressing the underlying medical condition.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
58,59,RELATED,"{order: 21, description: results_in, as successful treatment of sleep related hypoventilation can lead to improved oxygen saturation and reduced fatigue., metadata: {\""summary\"": \""The text pertains to \\""Sleep Related Hypoventilation Due to a Medical Disorder,\\"" a condition characterized by abnormally slow and shallow breathing during sleep, resulting in low oxygen and high carbon dioxide levels in the blood. This can occur due to various medical disorders such as neuromuscular or chest wall disorders, obesity hypoventilation syndrome, or severe lung diseases. Symptoms include excessive daytime sleepiness, morning headaches, and snoring, while diagnosis involves overnight monitoring of breathing and oxygen levels. Treatment options include continuous positive airway pressure (CPAP), bilevel positive airway pressure (BPAP), or oxygen therapy, along with addressing the underlying medical condition.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
60,61,RELATED,"{order: 22, description: is the same as, metadata: {\""summary\"": \""The text appears to be about a sleep-related disorder called Sleep Related Hypoxemia. However, the provided text is incomplete and lacks specific details. Sleep Related Hypoxemia is a condition where a person experiences low levels of oxygen in their blood during sleep, which can lead to various health issues such as heart problems, decreased cognitive function, and excessive daytime sleepiness. Treatment options may include using oxygen therapy or continuous positive airway pressure (CPAP) machines during sleep.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
60,62,RELATED,"{order: 22, description: has_symptom, metadata: {\""summary\"": \""The text appears to be about a sleep-related disorder called Sleep Related Hypoxemia. However, the provided text is incomplete and lacks specific details. Sleep Related Hypoxemia is a condition where a person experiences low levels of oxygen in their blood during sleep, which can lead to various health issues such as heart problems, decreased cognitive function, and excessive daytime sleepiness. Treatment options may include using oxygen therapy or continuous positive airway pressure (CPAP) machines during sleep.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
63,64,RELATED,"{order: 23, description: has_symptom. The symptom of snoring is mentioned under the concept of Isolated Symptoms and Normal Variants., metadata: {\""summary\"": \""The text provided discusses isolated symptoms and normal variants, covering two topics: snoring and catathrenia. Snoring involves noisy breathing during sleep, which can be a symptom of a variety of conditions, while catathrenia is a rare disorder characterized by breath-holding and expiratory groaning during sleep.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
65,66,RELATED,"{order: 24, description: The provided text introduces the general medical condition of Central Disorders of Hypersomnolence., metadata: {\""summary\"": \""The text provides information on Central Disorders of Hypersomnolence, which are disorders characterized by excessive daytime sleepiness. Specific disorders discussed include Narcolepsy Type 1, Narcolepsy Type 2, Idiopathic Hypersomnia, Kleine-Levin Syndrome, and Hypersomnia Due to a Medical Disorder. Narcolepsy Type 1 is distinguished by the presence of cataplexy, while Narcolepsy Type 2 lacks this symptom. Idiopathic Hypersomnia is characterized by excessive sleepiness without cataplexy or other features of narcolepsy. Kleine-Levin Syndrome is a rare disorder involving recurring episodes of excessive sleep and reduced awareness. Hypersomnia Due to a Medical Disorder is caused by an underlying medical condition.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
67,65,RELATED,"{order: 24, description: Narcolepsy Type 1 is a specific type of medical condition that falls under the broader category of Central Disorders of Hypersomnolence., metadata: {\""summary\"": \""The text provides information on Central Disorders of Hypersomnolence, which are disorders characterized by excessive daytime sleepiness. Specific disorders discussed include Narcolepsy Type 1, Narcolepsy Type 2, Idiopathic Hypersomnia, Kleine-Levin Syndrome, and Hypersomnia Due to a Medical Disorder. Narcolepsy Type 1 is distinguished by the presence of cataplexy, while Narcolepsy Type 2 lacks this symptom. Idiopathic Hypersomnia is characterized by excessive sleepiness without cataplexy or other features of narcolepsy. Kleine-Levin Syndrome is a rare disorder involving recurring episodes of excessive sleep and reduced awareness. Hypersomnia Due to a Medical Disorder is caused by an underlying medical condition.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
68,65,RELATED,"{order: 24, description: Narcolepsy Type 2 is a specific type of medical condition that falls under the broader category of Central Disorders of Hypersomnolence., metadata: {\""summary\"": \""The text provides information on Central Disorders of Hypersomnolence, which are disorders characterized by excessive daytime sleepiness. Specific disorders discussed include Narcolepsy Type 1, Narcolepsy Type 2, Idiopathic Hypersomnia, Kleine-Levin Syndrome, and Hypersomnia Due to a Medical Disorder. Narcolepsy Type 1 is distinguished by the presence of cataplexy, while Narcolepsy Type 2 lacks this symptom. Idiopathic Hypersomnia is characterized by excessive sleepiness without cataplexy or other features of narcolepsy. Kleine-Levin Syndrome is a rare disorder involving recurring episodes of excessive sleep and reduced awareness. Hypersomnia Due to a Medical Disorder is caused by an underlying medical condition.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
69,65,RELATED,"{order: 24, description: Idiopathic Hypersomnia is a specific type of medical condition that falls under the broader category of Central Disorders of Hypersomnolence., metadata: {\""summary\"": \""The text provides information on Central Disorders of Hypersomnolence, which are disorders characterized by excessive daytime sleepiness. Specific disorders discussed include Narcolepsy Type 1, Narcolepsy Type 2, Idiopathic Hypersomnia, Kleine-Levin Syndrome, and Hypersomnia Due to a Medical Disorder. Narcolepsy Type 1 is distinguished by the presence of cataplexy, while Narcolepsy Type 2 lacks this symptom. Idiopathic Hypersomnia is characterized by excessive sleepiness without cataplexy or other features of narcolepsy. Kleine-Levin Syndrome is a rare disorder involving recurring episodes of excessive sleep and reduced awareness. Hypersomnia Due to a Medical Disorder is caused by an underlying medical condition.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
70,65,RELATED,"{order: 24, description: Kleine-Levin Syndrome is a specific type of medical condition that falls under the broader category of Central Disorders of Hypersomnolence., metadata: {\""summary\"": \""The text provides information on Central Disorders of Hypersomnolence, which are disorders characterized by excessive daytime sleepiness. Specific disorders discussed include Narcolepsy Type 1, Narcolepsy Type 2, Idiopathic Hypersomnia, Kleine-Levin Syndrome, and Hypersomnia Due to a Medical Disorder. Narcolepsy Type 1 is distinguished by the presence of cataplexy, while Narcolepsy Type 2 lacks this symptom. Idiopathic Hypersomnia is characterized by excessive sleepiness without cataplexy or other features of narcolepsy. Kleine-Levin Syndrome is a rare disorder involving recurring episodes of excessive sleep and reduced awareness. Hypersomnia Due to a Medical Disorder is caused by an underlying medical condition.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
71,65,RELATED,"{order: 24, description: Hypersomnia Due to a Medical Disorder is a specific type of medical condition that falls under the broader category of Central Disorders of Hypersomnolence., metadata: {\""summary\"": \""The text provides information on Central Disorders of Hypersomnolence, which are disorders characterized by excessive daytime sleepiness. Specific disorders discussed include Narcolepsy Type 1, Narcolepsy Type 2, Idiopathic Hypersomnia, Kleine-Levin Syndrome, and Hypersomnia Due to a Medical Disorder. Narcolepsy Type 1 is distinguished by the presence of cataplexy, while Narcolepsy Type 2 lacks this symptom. Idiopathic Hypersomnia is characterized by excessive sleepiness without cataplexy or other features of narcolepsy. Kleine-Levin Syndrome is a rare disorder involving recurring episodes of excessive sleep and reduced awareness. Hypersomnia Due to a Medical Disorder is caused by an underlying medical condition.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
72,39,RELATED,"{order: 25, description: is_risk_factor_for, metadata: {\""summary\"": \""The text appears to discuss two types of hypersomnia, or excessive sleepiness. The first type is caused by medication or substances, and the second type is associated with a psychiatric disorder. Further details on these types of hypersomnia are provided in the subsequent sections of the text.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
73,74,RELATED,"{order: 25, description: is_risk_factor_for, metadata: {\""summary\"": \""The text appears to discuss two types of hypersomnia, or excessive sleepiness. The first type is caused by medication or substances, and the second type is associated with a psychiatric disorder. Further details on these types of hypersomnia are provided in the subsequent sections of the text.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
75,22,RELATED,"{order: 26, description: has_symptom, metadata: {\""summary\"": \""The text appears to be about \\""Insufficient Sleep Syndrome,\\"" but no additional details are provided. Insufficient Sleep Syndrome is a sleep disorder characterized by consistently obtaining less sleep than the individual's body needs, resulting in symptoms such as excessive daytime sleepiness, mood changes, and cognitive impairment. It can have significant negative effects on a person's overall health and well-being.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
75,76,RELATED,"{order: 26, description: relates_to, metadata: {\""summary\"": \""The text appears to be about \\""Insufficient Sleep Syndrome,\\"" but no additional details are provided. Insufficient Sleep Syndrome is a sleep disorder characterized by consistently obtaining less sleep than the individual's body needs, resulting in symptoms such as excessive daytime sleepiness, mood changes, and cognitive impairment. It can have significant negative effects on a person's overall health and well-being.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
75,77,RELATED,"{order: 26, description: results_in, metadata: {\""summary\"": \""The text appears to be about \\""Insufficient Sleep Syndrome,\\"" but no additional details are provided. Insufficient Sleep Syndrome is a sleep disorder characterized by consistently obtaining less sleep than the individual's body needs, resulting in symptoms such as excessive daytime sleepiness, mood changes, and cognitive impairment. It can have significant negative effects on a person's overall health and well-being.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
75,78,RELATED,"{order: 26, description: is_risk_factor_for, metadata: {\""summary\"": \""The text appears to be about \\""Insufficient Sleep Syndrome,\\"" but no additional details are provided. Insufficient Sleep Syndrome is a sleep disorder characterized by consistently obtaining less sleep than the individual's body needs, resulting in symptoms such as excessive daytime sleepiness, mood changes, and cognitive impairment. It can have significant negative effects on a person's overall health and well-being.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
75,20,RELATED,"{order: 26, description: requires_test, metadata: {\""summary\"": \""The text appears to be about \\""Insufficient Sleep Syndrome,\\"" but no additional details are provided. Insufficient Sleep Syndrome is a sleep disorder characterized by consistently obtaining less sleep than the individual's body needs, resulting in symptoms such as excessive daytime sleepiness, mood changes, and cognitive impairment. It can have significant negative effects on a person's overall health and well-being.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
75,79,RELATED,"{order: 26, description: treated_by, metadata: {\""summary\"": \""The text appears to be about \\""Insufficient Sleep Syndrome,\\"" but no additional details are provided. Insufficient Sleep Syndrome is a sleep disorder characterized by consistently obtaining less sleep than the individual's body needs, resulting in symptoms such as excessive daytime sleepiness, mood changes, and cognitive impairment. It can have significant negative effects on a person's overall health and well-being.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
80,81,RELATED,"{order: 27, description: has_symptom, metadata: {\""summary\"": \""The text discusses various sleep-related issues, starting with isolated symptoms and normal variants such as \\""Long Sleeper.\\"" It then moves on to Circadian Rhythm Sleep-Wake Disorders, including Delayed Sleep-Wake Phase Disorder, Advanced Sleep-Wake Phase Disorder, and Irregular Sleep-Wake Rhythm Disorder.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
82,83,RELATED,"{order: 27, description: relates_to, metadata: {\""summary\"": \""The text discusses various sleep-related issues, starting with isolated symptoms and normal variants such as \\""Long Sleeper.\\"" It then moves on to Circadian Rhythm Sleep-Wake Disorders, including Delayed Sleep-Wake Phase Disorder, Advanced Sleep-Wake Phase Disorder, and Irregular Sleep-Wake Rhythm Disorder.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
84,82,RELATED,"{order: 27, description: is_risk_factor_for, metadata: {\""summary\"": \""The text discusses various sleep-related issues, starting with isolated symptoms and normal variants such as \\""Long Sleeper.\\"" It then moves on to Circadian Rhythm Sleep-Wake Disorders, including Delayed Sleep-Wake Phase Disorder, Advanced Sleep-Wake Phase Disorder, and Irregular Sleep-Wake Rhythm Disorder.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
85,82,RELATED,"{order: 27, description: is_risk_factor_for, metadata: {\""summary\"": \""The text discusses various sleep-related issues, starting with isolated symptoms and normal variants such as \\""Long Sleeper.\\"" It then moves on to Circadian Rhythm Sleep-Wake Disorders, including Delayed Sleep-Wake Phase Disorder, Advanced Sleep-Wake Phase Disorder, and Irregular Sleep-Wake Rhythm Disorder.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
86,82,RELATED,"{order: 27, description: is_risk_factor_for, metadata: {\""summary\"": \""The text discusses various sleep-related issues, starting with isolated symptoms and normal variants such as \\""Long Sleeper.\\"" It then moves on to Circadian Rhythm Sleep-Wake Disorders, including Delayed Sleep-Wake Phase Disorder, Advanced Sleep-Wake Phase Disorder, and Irregular Sleep-Wake Rhythm Disorder.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
0,1,RELATED,"{order: 0, description: relates_to, metadata: {\""summary\"": \""The International Classification of Sleep Disorders, Third Edition (ICSD-3) is a classification system established by the American Academy of Sleep Medicine (AASM) for sleep disorders. It provides standardized criteria for the diagnosis of various sleep disorders, improving communication and research in the field.\"", \""generated_at\"": \""2025-01-20 15:40:24.996847\""}}"
