nodeId,labels,properties
79,[Entity],"{name: Cognitive behavioral therapy, label: Treatment}"
80,[Entity],"{name: Isolated Symptoms, label: Condition}"
81,[Entity],"{name: Long Sleeper, label: Concept}"
82,[Entity],"{name: Circadian Rhythm Sleep-Wake Disorders, label: Concept}"
83,[Entity],"{name: None, label: None}"
84,[Entity],"{name: Delayed Sleep-Wake Phase Disorder, label: Condition}"
85,[Entity],"{name: Advanced Sleep-Wake Phase Disorder, label: Condition}"
86,[Entity],"{name: Irregular Sleep-Wake Rhythm Disorder, label: Condition}"
87,[Entity],"{name: Non-24-Hour Sleep-Wake Rhythm Disorder, label: Condition}"
88,[Entity],"{name: NA, label: None}"
89,[Entity],"{name: Shift Work Disorder, label: Condition}"
90,[Entity],"{name: Jet Lag Disorder, label: Condition}"
91,[Entity],"{name: Circadian Sleep-Wake Disorder Not Otherwise Specified (NOS), label: Condition}"
92,[Entity],"{name: Parasomnias, label: Condition}"
93,[Entity],"{name: NREM-RELATED PARASOMNIAS, label: Condition}"
94,[Entity],"{name: Disorders of Arousal (From NREM Sleep), label: Condition}"
95,[Entity],"{name: Confusional Arousals, label: Condition}"
96,[Entity],"{name: Sleepwalking, label: Concept}"
97,[Entity],"{name: Parasomnia, label: Condition}"
98,[Entity],"{name: Sleep Disorder, label: Concept}"
99,[Entity],"{name: Sleep Terrors, label: Condition}"
100,[Entity],"{name: Sleep Related Eating Disorder, label: Condition}"
101,[Entity],"{name: REM-RELATED PARASOMNIAS, label: Concept}"
102,[Entity],"{name: REM Sleep Behavior Disorder, label: Condition}"
103,[Entity],"{name: Recurrent Isolated Sleep Paralysis, label: Condition}"
104,[Entity],"{name: OTHER PARASOMNIAS, label: Concept}"
105,[Entity],"{name: Nightmare Disorder, label: Condition}"
106,[Entity],"{name: Exploding Head Syndrome, label: Concept}"
107,[Entity],"{name: Sleep Related Hallucinations, label: Condition}"
108,[Entity],"{name: Sleep Enuresis, label: Condition}"
109,[Entity],"{name: Parasomnia Due to a Medical Disorder, label: Condition}"
110,[Entity],"{name: 276 Parasomnia Due to a Medication or Substance, label: Condition}"
111,[Entity],"{name: 276 Parasomnia, Unspecified, label: Condition}"
112,[Entity],"{name: Normal Variants, label: Concept}"
113,[Entity],"{name: Sleep Talking, label: Condition}"
114,[Entity],"{name: Sleep Related Movement Disorders, label: Concept}"
115,[Entity],"{name: Restless Legs Syndrome, label: Condition}"
116,[Entity],"{name: Periodic Limb Movement Disorder, label: Condition}"
117,[Entity],"{name: Sleep Related Leg Cramps, label: Condition}"
118,[Entity],"{name: Sleep Related Bruxism, label: Condition}"
119,[Entity],"{name: Sleep Related Rhythmic Movement Disorder, label: Condition}"
120,[Entity],"{name: Benign Sleep Myoclonus of Infancy, label: Condition}"
121,[Entity],"{name: Propriospinal Myoclonus at Sleep Onset, label: Condition}"
122,[Entity],"{name: Sleep Related Movement Disorder Due to a Medical Disorder, label: Condition}"
123,[Entity],"{name: Sleep Related Movement Disorder Due to a Medication or Substance, label: Condition}"
124,[Entity],"{name: Sleep Related Movement Disorder, Unspecified, label: Condition}"
125,[Entity],"{name: Excessive Fragmentary Myoclonus, label: Symptom}"
126,[Entity],"{name: Hypnagogic Foot Tremor and Alternating Leg Muscle Activation, label: Symptom}"
127,[Entity],"{name: Sleep Starts (Hypnic Jerks), label: Symptom}"
128,[Entity],"{name: Other Sleep Disorder, label: Sleep Disorder}"
129,[Entity],"{name: Sleep Related Medical and Neurological Disorders, label: Concept}"
130,[Entity],"{name: Appendix B: ICD-10-CM Coding for Substance-Induced Sleep Disorders, label: Concept}"
131,[Entity],"{name: Substance-Induced Sleep Disorders, label: Concept}"
132,[Entity],"{name: Glossary, label: Concept}"
133,[Entity],"{name: Sleep Medicine, label: Concept}"
134,[Entity],"{name: leadership capacities, label: Concept}"
135,[Entity],"{name: Past-President, label: Concept}"
136,[Entity],"{name: Dr. Sateia, label: Concept}"
137,[Entity],"{name: Journal of Clinical Sleep Medicine, label: Concept}"
138,[Entity],"{name: Scientific Program Committee of the Associated Professional Sleep Societies, label: Concept}"
139,[Entity],"{name: Associated Professional Sleep Societies, label: Concept}"
140,[Entity],"{name: Research Advisory Board, label: Concept}"
141,[Entity],"{name: National Center on Sleep Disorders Research, label: Concept}"
142,[Entity],"{name: He, label: Person}"
143,[Entity],"{name: Academic Award, label: Concept}"
144,[Entity],"{name: National Heart, Lung, and Blood Institute, label: Concept}"
145,[Entity],"{name: Accreditation Council on Graduate Medical Education Advisory Committee for Sleep Medicine, label: Concept}"
146,[Entity],"{name: American Board of Internal Medicine Policy and Test Committee for Sleep Medicine, label: Concept}"
147,[Entity],"{name: International Classification of Sleep Disorders, 2nd Edition, label: Document}"
148,[Entity],"{name: Insomnia: Diagnosis and Treatment, label: Document}"
149,[Entity],"{name: Nathaniel Kleitman Award, label: Concept}"
150,[Entity],"{name: International Classification of Sleep Disorders, 3rd Edition, label: Document}"
151,[Entity],"{name: task force chair, label: Role}"
152,[Entity],"{name: editor, label: Role}"
153,[Entity],"{name: Guidelines for the pharmacological management of insomnia, label: Document}"
154,[Entity],"{name: chair of the task force on the pharmacological management of insomnia, label: Role}"
155,[Entity],"{name: sleep medicine, label: Concept}"
156,[Entity],"{name: insomnia, label: Concept}"
157,[Entity],"{name: professional education in sleep, label: Concept}"
158,[Entity],"{name: manual, label: Concept}"
159,[Entity],"{name: people, label: Concept}"
160,[Entity],"{name: Task Force on ICSD-3, label: Document}"
161,[Entity],"{name: devoted hours and tireless dedication, label: Concept}"
162,[Entity],"{name: members of the Task Force on ICSD-3, label: Document}"
163,[Entity],"{name: members of their respective work groups, label: Document}"
164,[Entity],"{name: reviewers, label: Concept}"
165,[Entity],"{name: recommendations, label: Concept}"
166,[Entity],"{name: text, label: Concept}"
167,[Entity],"{name: staff members, label: Concept}"
168,[Entity],"{name: Director of Coding and Compliance, label: Concept}"
169,[Entity],"{name: AASM, label: Concept}"
170,[Entity],"{name: Diligence, dedication and determination, label: Concept}"
171,[Entity],"{name: Ms. Carolyn Winter-Rosenberg, label: Concept}"
172,[Entity],"{name: Project, label: Concept}"
173,[Entity],"{name: publication, label: Concept}"
174,[Entity],"{name: Without her, label: Person}"
175,[Entity],"{name: President, label: Concept}"
176,[Entity],"{name: Nancy Collop, label: Person}"
177,[Entity],"{name: revision process, label: Concept}"
178,[Entity],"{name: multiple drafts, label: Document}"
179,[Entity],"{name: members of the board, label: Person}"
180,[Entity],"{name: DO, label: Concept}"
181,[Entity],"{name: Medical Doctor, label: Concept}"
182,[Entity],"{name: MD, label: Concept}"
183,[Entity],"{name: MS, label: Concept}"
184,[Entity],"{name: Degree or Certification, label: Concept}"
185,[Entity],"{name: PhD, label: Concept}"
186,[Entity],"{name: RN, label: Concept}"
187,[Entity],"{name: Nursing Degree or Certification, label: Concept}"
188,[Entity],"{name: World Sleep Federation, label: Concept}"
189,[Entity],"{name: international review effort, label: Concept}"
190,[Entity],"{name: Clete Kushida, MD, PhD, label: Concept}"
191,[Entity],"{name: Person, label: Concept}"
192,[Entity],"{name: Role, label: Concept}"
193,[Entity],"{name: Assistance, label: Concept}"
194,[Entity],"{name: Action, label: Concept}"
195,[Entity],"{name: DSM-5, label: Concept}"
196,[Entity],"{name: DSM-5 sleep disorders work group, label: Document}"
197,[Entity],"{name: Charles Reynolds, MD, label: Person}"
198,[Entity],"{name: concordance between classification systems, label: Concept}"
199,[Entity],"{name: psychiatric conditions, label: Concept}"
200,[Entity],"{name: David Neubauer, MD, label: Person}"
201,[Entity],"{name: Ruth Benca, MD, PhD, label: Person}"
202,[Entity],"{name: Movement Disorders chapter, label: Concept}"
203,[Entity],"{name: Maria Carra, PhD, label: Person}"
204,[Entity],"{name: long hours, label: Concept}"
205,[Entity],"{name: manual creation, label: Concept}"
206,[Entity],"{name: patience, label: Concept}"
207,[Entity],"{name: colleagues, label: Concept}"
208,[Entity],"{name: support, label: Concept}"
209,[Entity],"{name: families, label: Concept}"
210,[Entity],"{name: understanding, label: Concept}"
211,[Entity],"{name: International Classification of Sleep Disorders (ICSD), label: Concept}"
212,[Entity],"{name: Classification of disorders, label: Concept}"
213,[Entity],"{name: Michael Sateia, MD, label: Person}"
214,[Entity],"{name: Richard Berry, MD, label: Person}"
215,[Entity],"{name: Michel Cramer Bornemann, MD, label: Person}"
216,[Entity],"{name: Karl Doghramji, MD, label: Person}"
217,[Entity],"{name: Jack Edinger, PhD, label: Person}"
218,[Entity],"{name: Richard Ferber, MD, label: Person}"
219,[Entity],"{name: Gerald Rosen, MD, label: Person}"
220,[Entity],"{name: Michael Silber, MB, ChB, label: Person}"
221,[Entity],"{name: Arthur Walters, MD, label: Person}"
222,[Entity],"{name: Phyllis Zee, MD, PhD, label: Person}"
223,[Entity],"{name: INSOMNIA, label: Concept}"
224,[Entity],"{name: Daniel Buysse, MD, label: Person}"
225,[Entity],"{name: Kenneth Lichstein, PhD, label: Person}"
226,[Entity],"{name: Jodi Mindell, PhD, label: Person}"
227,[Entity],"{name: Charles Morin, PhD, label: Person}"
228,[Entity],"{name: CIRCADIAN RHYTHM SLEEP WAKE DISORDERS, label: Concept}"
229,[Entity],"{name: Judith Owens, MD, label: Person}"
230,[Entity],"{name: Robert Auger, MD, label: Person}"
231,[Entity],"{name: Makoto Uchiyama, MD, PhD, label: Person}"
232,[Entity],"{name: Kenneth Wright, PhD, label: Person}"
233,[Entity],"{name: James Wyatt, PhD, label: Person}"
234,[Entity],"{name: SLEEP RELATED BREATHING DISORDERS, label: Concept}"
235,[Entity],"{name: Teofilo Lee-Chiong, MD, label: Person}"
236,[Entity],"{name: Carole Marcus, MBBCh, label: Person}"
237,[Entity],"{name: Stuart Quan, MD, label: Person}"
238,[Entity],"{name: PARASOMNIAS, label: Concept}"
239,[Entity],"{name: Carlos Schenck, MD, label: Person}"
240,[Entity],"{name: Mark Pressman, PhD, label: Person}"
241,[Entity],"{name: HYPERSOMNOLENCE, label: Concept}"
242,[Entity],"{name: Isabelle Arnulf, MD, label: Person}"
243,[Entity],"{name: Suresh Kotagal, MBBS, label: Person}"
244,[Entity],"{name: Thomas Scammell, MD, label: Person}"
245,[Entity],"{name: MOVEMENT DISORDERS, label: Concept}"
246,[Entity],"{name: Ronald Chervin, MD, MS, label: Person}"
247,[Entity],"{name: Stephen Duntley, MD, label: Person}"
248,[Entity],"{name: Giles Lavigne, DMD, PhD, label: Person}"
249,[Entity],"{name: Daniel Picchietti, MD, label: Person}"
250,[Entity],"{name: Denise Sharon, MD, PhD, label: Person}"
251,[Entity],"{name: Marco Zucconi, MD, label: Person}"
252,[Entity],"{name: disease states, label: Concept}"
253,[Entity],"{name: clinicians, label: Concept}"
254,[Entity],"{name: identification, label: Concept}"
255,[Entity],"{name: classification systems, label: Concept}"
256,[Entity],"{name: numerous related factors, label: relates_to}"
257,[Entity],"{name: information, label: relates_to}"
258,[Entity],"{name: pathogenesis, label: relates_to}"
259,[Entity],"{name: prognosis, label: relates_to}"
260,[Entity],"{name: course, label: relates_to}"
261,[Entity],"{name: heritability, label: relates_to}"
262,[Entity],"{name: therapeutic interventions, label: Treatment}"
263,[Entity],"{name: nosologic decisions, label: Concept}"
264,[Entity],"{name: therapeutic response, label: Concept}"
265,[Entity],"{name: nosology, label: Concept}"
266,[Entity],"{name: Classification systems, label: Concept}"
267,[Entity],"{name: Sleep medicine, label: Concept}"
268,[Entity],"{name: Domain of a given discipline, label: Concept}"
269,[Entity],"{name: Specialties, label: Concept}"
270,[Entity],"{name: clinical features, label: Concept}"
271,[Entity],"{name: related pathologies, label: Condition}"
272,[Entity],"{name: pathophysiology, label: Concept}"
273,[Entity],"{name: treatment response, label: Concept}"
274,[Entity],"{name: each disorder, label: Condition}"
275,[Entity],"{name: future research agendas, label: Concept}"
276,[Entity],"{name: enhance our knowledge and understanding, label: Concept}"
277,[Entity],"{name: 1979 American Sleep Disorders Association’s Diagnostic Classification of Sleep and Arousal Disorders, label: Document}"
278,[Entity],"{name: classification, label: Concept}"
279,[Entity],"{name: classification system, label: Concept}"
280,[Entity],"{name: knowledge and understanding of sleep disorders, label: Concept}"
281,[Entity],"{name: current revision, label: Document}"
282,[Entity],"{name: revision, label: Concept}"
283,[Entity],"{name: that edition, label: Document}"
284,[Entity],"{name: edition, label: Concept}"
285,[Entity],"{name: organization, label: Concept}"
286,[Entity],"{name: user-friendly, label: Concept}"
287,[Entity],"{name: limitations, label: Concept}"
288,[Entity],"{name: pathophysiologies of disease or disorder, label: Concept}"
289,[Entity],"{name: given discipline, label: Concept}"
290,[Entity],"{name: knowledge, label: Concept}"
291,[Entity],"{name: sleep disorders, label: Concept}"
292,[Entity],"{name: inadequate pathophysiology understanding, label: Concept}"
293,[Entity],"{name: diagnostic systems, label: Concept}"
294,[Entity],"{name: current knowledge, label: Concept}"
295,[Entity],"{name: hybrid approach, label: Concept}"
296,[Entity],"{name: phenomenology, label: Concept}"
297,[Entity],"{name: organ system approaches, label: Concept}"
298,[Entity],"{name: sleep medicine clinicians' approach, label: Treatment}"
299,[Entity],"{name: familiar and workable, label: Concept}"
300,[Entity],"{name: Revision, label: Concept}"
301,[Entity],"{name: Revision of International Classification of Sleep Disorders, 2nd Edition, label: Document}"
302,[Entity],"{name: American Academy of Sleep Medicine Board of Directors, label: Organization}"
303,[Entity],"{name: Currency and Relevance, label: Concept}"
304,[Entity],"{name: task force, label: Concept}"
305,[Entity],"{name: work group chairs, label: Concept}"
306,[Entity],"{name: pediatric consultants, label: Concept}"
307,[Entity],"{name: major division of the manual, label: Concept}"
308,[Entity],"{name: focus group, label: Concept}"
309,[Entity],"{name: experts, label: Concept}"
310,[Entity],"{name: structural issues, label: Concept}"
311,[Entity],"{name: content issues, label: Concept}"
312,[Entity],"{name: June 2011, label: Concept}"
313,[Entity],"{name: diagnosis, label: Concept}"
314,[Entity],"{name: disorders, label: Concept}"
315,[Entity],"{name: work groups, label: Concept}"
316,[Entity],"{name: individual, label: Concept}"
317,[Entity],"{name: feedback, label: Concept}"
318,[Entity],"{name: comprehensive literature searches, label: Concept}"
319,[Entity],"{name: major features, label: Concept}"
320,[Entity],"{name: draft diagnostic criteria, label: Concept}"
321,[Entity],"{name: review and modification process, label: Concept}"
322,[Entity],"{name: pediatric advisors, label: Concept}"
323,[Entity],"{name: board of the AASM, label: Concept}"
324,[Entity],"{name: AASM membership sections, label: Document}"
325,[Entity],"{name: Edited criteria, label: relates_to}"
326,[Entity],"{name: International societies, label: Document}"
327,[Entity],"{name: External peer reviewers, label: Document}"
328,[Entity],"{name: text revisions, label: Concept}"
329,[Entity],"{name: review process, label: Concept}"
330,[Entity],"{name: text drafts, label: Concept}"
331,[Entity],"{name: modifications, label: Concept}"
332,[Entity],"{name: AASM board, label: Concept}"
333,[Entity],"{name: further modifications, label: Concept}"
334,[Entity],"{name: edition finalization, label: Concept}"
335,[Entity],"{name: scientific evidence, label: Concept}"
336,[Entity],"{name: process, label: Concept}"
337,[Entity],"{name: paucity of available evidence, label: Concept}"
338,[Entity],"{name: decisions regarding the nosology, label: Concept}"
339,[Entity],"{name: consensus of the work groups, task force, and reviewers, label: Concept}"
340,[Entity],"{name: ICSD-3, label: Document}"
341,[Entity],"{name: second edition, label: Concept}"
342,[Entity],"{name: pediatric diagnoses, label: Condition}"
343,[Entity],"{name: obstructive sleep apnea, pediatric, label: Condition}"
344,[Entity],"{name: pediatric presentations, label: Condition}"
345,[Entity],"{name: variation in the diagnostic criteria, label: Concept}"
346,[Entity],"{name: criteria section, label: Concept}"
347,[Entity],"{name: Developmental Issues, label: Concept}"
348,[Entity],"{name: ICD codes (9-CM and 10-CM), label: Document}"
349,[Entity],"{name: Medical classifications or references, label: Concept}"
350,[Entity],"{name: International Classification of Sleep Disorders, label: Document}"
351,[Entity],"{name: ICD system, label: Document}"
352,[Entity],"{name: assignment of codes, label: Concept}"
353,[Entity],"{name: complexities, label: Concept}"
354,[Entity],"{name: differences, label: Concept}"
355,[Entity],"{name: Coding, label: Concept}"
356,[Entity],"{name: Issues, label: Concept}"
357,[Entity],"{name: variability in presentation, label: Concept}"
358,[Entity],"{name: clinically significant conditions, label: Concept}"
359,[Entity],"{name: do not meet all specific criteria for a given diagnosis, label: Condition}"
360,[Entity],"{name: must recognize, label: Concept}"
361,[Entity],"{name: judgment, label: Concept}"
362,[Entity],"{name: criteria, label: Concept}"
363,[Entity],"{name: given diagnosis, label: Condition}"
364,[Entity],"{name: establishment of a condition, label: Concept}"
365,[Entity],"{name: clinical significance, label: Concept}"
366,[Entity],"{name: disturbing symptoms, label: Concept}"
367,[Entity],"{name: significant consequences, label: Concept}"
368,[Entity],"{name: distress, label: Concept}"
369,[Entity],"{name: impairment in functional realms, label: Concept}"
370,[Entity],"{name: sleep-wake, label: Concept}"
371,[Entity],"{name: clinical attention and treatment, label: Concept}"
372,[Entity],"{name: phenomena, label: Concept}"
373,[Entity],"{name: treatment, label: Concept}"
374,[Entity],"{name: medical classification systems, label: Concept}"
375,[Entity],"{name: diagnostic criteria for conditions, label: Concept}"
376,[Entity],"{name: application of criteria, label: Concept}"
377,[Entity],"{name: particular attention, label: Symptom}"
378,[Entity],"{name: essential definitions and details, label: Concept}"
379,[Entity],"{name: Notes section, label: Symptom}"
380,[Entity],"{name: content changes, label: Concept}"
381,[Entity],"{name: former edition, label: Concept}"
382,[Entity],"{name: chronic insomnia disorders, label: Condition}"
383,[Entity],"{name: chronic insomnia diagnoses, label: Concept}"
384,[Entity],"{name: Insomnia disorders, label: Concept}"
385,[Entity],"{name: introductory section, label: Concept}"
386,[Entity],"{name: short-term insomnia, label: Condition}"
387,[Entity],"{name: Narcolepsy, label: Concept}"
388,[Entity],"{name: Narcolepsy type 1 and type 2, label: Concept}"
389,[Entity],"{name: modification, label: Concept}"
390,[Entity],"{name: introduction, label: Concept}"
391,[Entity],"{name: new diagnoses, label: Concept}"
392,[Entity],"{name: Treatment-emergent central sleep apnea, label: Condition}"
393,[Entity],"{name: complex sleep apnea, label: Condition}"
394,[Entity],"{name: central apnea, label: Condition}"
395,[Entity],"{name: positive airway pressure treatment for obstructive sleep apnea, label: RiskFactor}"
396,[Entity],"{name: another cause, label: Concept}"
397,[Entity],"{name: obstructive sleep apnea, label: Condition}"
398,[Entity],"{name: positive airway pressure treatment, label: Treatment}"
399,[Entity],"{name: Central sleep apnea, label: Condition}"
400,[Entity],"{name: treatment-emergent, label: Concept}"
401,[Entity],"{name: Central sleep apnea associated with other identifiable etiologies, label: Condition}"
402,[Entity],"{name: Cheyne-Stokes breathing induced central sleep apnea, label: Condition}"
403,[Entity],"{name: substance, label: Substance}"
404,[Entity],"{name: substance-induced central sleep apnea, label: Condition}"
405,[Entity],"{name: sleep related hypoventilation disorder, label: Condition}"
406,[Entity],"{name: demonstration of elevated PaCO2, label: Test}"
407,[Entity],"{name: arterial blood gas, label: Concept}"
408,[Entity],"{name: end-tidal CO2 determination, label: Concept}"
409,[Entity],"{name: trans-cutaneous CO2 determination, label: Concept}"
410,[Entity],"{name: sleep related hypoxemia disorder, label: Condition}"
411,[Entity],"{name: SaO2 measurement, label: Test}"
412,[Entity],"{name: PaCO2 measurement, label: Test}"
413,[Entity],"{name: sustained drop in SaO2, label: Condition}"
414,[Entity],"{name: parasomnia, label: Concept}"
415,[Entity],"{name: disorders of arousal from non-rapid eye movement sleep, label: Concept}"
416,[Entity],"{name: general criteria, label: Concept}"
417,[Entity],"{name: specific criteria, label: Concept}"
418,[Entity],"{name: separate coding, label: Concept}"
419,[Entity],"{name: confusional arousal, label: Concept}"
420,[Entity],"{name: sleepwalking, label: Concept}"
421,[Entity],"{name: sleep terror, label: Concept}"
422,[Entity],"{name: additions, deletions and reassignment of diagnoses, label: Concept}"
423,[Entity],"{name: this edition, label: Document}"
424,[Entity],"{name: diagnoses, label: Concept}"
425,[Entity],"{name: formal diagnoses, label: Concept}"
426,[Entity],"{name: relevant sections, label: Condition}"
427,[Entity],"{name: snoring, label: Symptom}"
428,[Entity],"{name: long sleeper, label: Symptom}"
429,[Entity],"{name: movement related variants, label: Symptom}"
430,[Entity],"{name: diagnostic section, label: Concept}"
431,[Entity],"{name: text headings, label: Concept}"
432,[Entity],"{name: text heading, label: Concept}"
433,[Entity],"{name: specific content, label: Concept}"
434,[Entity],"{name: Alternate Names Diagnostic Criteria Essential Features Associated Features Clinical and Pathophysiological Subtypes Demographics, label: Concept}"
435,[Entity],"{name: users, label: Concept}"
436,[Entity],"{name: Gender bias, label: RiskFactor}"
437,[Entity],"{name: Predisposing and Precipitating Factors, label: Predisposing and Precipitating Factors}"
438,[Entity],"{name: Racial / ethnic bias, label: RiskFactor}"
439,[Entity],"{name: Familial Pattern, label: RiskFactor}"
440,[Entity],"{name: Genetics, label: Genetics}"
441,[Entity],"{name: Familial clusters, label: Familial clusters}"
442,[Entity],"{name: Medical, label: Medical}"
443,[Entity],"{name: Onset, Course and Complications, label: Onset, Course and Complications}"
444,[Entity],"{name: Neurological, label: Neurological}"
445,[Entity],"{name: Psychiatric / social, label: Psychiatric / social}"
446,[Entity],"{name: Pediatric, label: Pediatric}"
447,[Entity],"{name: Geriatric, label: Geriatric}"
448,[Entity],"{name: Sleep logs, label: Sleep logs}"
449,[Entity],"{name: Pathology and Pathophysiology Objective Findings, label: Pathology and Pathophysiology Objective Findings}"
450,[Entity],"{name: Actigraphy, label: Actigraphy}"
451,[Entity],"{name: Questionnaires, label: Questionnaires}"
452,[Entity],"{name: Multiple sleep latency test, label: Test}"
453,[Entity],"{name: Electroencephalogram, label: Test}"
454,[Entity],"{name: Neuroimaging, label: Test}"
455,[Entity],"{name: Medical or diagnostic tests, label: Concept}"
456,[Entity],"{name: Electromyogram, label: Test}"
457,[Entity],"{name: Autonomic, label: Concept}"
458,[Entity],"{name: Endocrine, label: Concept}"
459,[Entity],"{name: Genetic testing, label: Concept}"
460,[Entity],"{name: Physical findings, label: Concept}"
461,[Entity],"{name: Respiratory, label: Concept}"
462,[Entity],"{name: Arterial blood gas, label: Test}"
463,[Entity],"{name: Pulmonary function, label: Concept}"
464,[Entity],"{name: Ventilatory response, label: Concept}"
465,[Entity],"{name: Cardiac, label: Concept}"
466,[Entity],"{name: Electrocardiogram, label: Test}"
467,[Entity],"{name: Echocardiogram, label: Test}"
468,[Entity],"{name: Serum chemistry, label: Concept}"
469,[Entity],"{name: Cardiac catheterization, label: Test}"
470,[Entity],"{name: Historically, there have been three major classifications systems for sleep disorders, label: Concept}"
471,[Entity],"{name: sleep medicine specialists, label: Concept}"
472,[Entity],"{name: Diagnostic and Statistical Manual of Mental Disorders, label: Document}"
473,[Entity],"{name: International Classification of Diseases, label: Document}"
474,[Entity],"{name: systems, label: Concept}"
